Id,QuizAttemptId,QuestionId,SelectedOptionId,WrittenAnswer,IsCorrect,MarksAwarded,InstructorFeedback
10432,1286,728,2147.0,,0.0,0.0,
50903,6306,417,1226.0,,0.0,0.0,
78629,9801,93,280.0,,0.0,0.0,
80985,10072,2816,8395.0,,0.0,0.0,
44260,5485,704,,I believe it is the first option.,-1.0,0.0,
7889,957,1825,5412.0,,0.0,0.0,
61049,7596,3375,10081.0,,0.0,0.0,
88080,10974,3326,9938.0,,0.0,0.0,
79138,9859,2888,8632.0,,0.0,0.0,
55722,6929,3541,10582.0,,0.0,0.0,
18643,2305,2602,7738.0,,0.0,0.0,
60498,7519,1677,4994.0,,0.0,0.0,
79269,9877,2242,6645.0,,0.0,0.0,
33386,4144,2090,6173.0,,0.0,0.0,
46649,5786,1128,3360.0,,0.0,0.0,Good effort.
4967,591,1258,3754.0,,0.0,0.0,Good effort.
59294,7374,2556,,The answer relates to the concept discussed.,0.0,1.3,
5788,687,4733,14059.0,,0.0,0.0,
34714,4305,3604,10772.0,,0.0,0.0,
2184,271,4293,12800.0,,1.0,5.0,
19175,2376,3584,10721.0,,0.0,0.0,
68378,8496,135,401.0,,1.0,2.0,
71099,8840,3817,11390.0,,0.0,0.0,
62172,7737,118,352.0,,0.0,0.0,
17885,2209,4525,,,-1.0,0.0,
39930,4929,4065,,I believe it is the first option.,0.0,1.3,
87242,10862,4432,13226.0,,0.0,0.0,Good effort.
47445,5891,3410,,I believe it is the first option.,0.0,0.7,
11404,1417,2088,,Binary search works on sorted arrays.,1.0,0.0,
21330,2611,1260,,I believe it is the first option.,1.0,0.7,Good effort.
22459,2751,4791,14219.0,,0.0,0.0,
54032,6709,4071,12115.0,,0.0,0.0,
62575,7786,3961,11799.0,,0.0,0.0,
86741,10798,2510,7482.0,,0.0,0.0,
41590,5134,3548,10607.0,,1.0,2.0,Good effort.
61707,7683,1647,4916.0,,0.0,0.0,
41524,5126,735,,I believe it is the first option.,0.0,0.9,
54257,6736,879,2609.0,,1.0,1.0,
85696,10674,95,286.0,,1.0,1.0,
70809,8798,3397,10154.0,,0.0,0.0,Good effort.
39590,4892,4544,13526.0,,0.0,0.0,
69275,8608,1071,3206.0,,0.0,0.0,
16227,1999,2084,6159.0,,0.0,0.0,Good effort.
69811,8684,3170,9508.0,,0.0,0.0,
53267,6609,12,34.0,,1.0,3.0,
70202,8720,2816,8395.0,,0.0,0.0,
4958,589,1821,5406.0,,0.0,0.0,Good effort.
61006,7591,1497,,,-1.0,0.0,
65287,8111,1464,4355.0,,0.0,0.0,
20868,2563,2881,8614.0,,0.0,0.0,
45851,5692,1843,5468.0,,0.0,0.0,
15525,1911,5068,15064.0,,0.0,0.0,
76423,9525,10,26.0,,0.0,0.0,
51096,6326,4276,,,-1.0,0.0,
24860,3062,760,,Stack overflow occurs when recursion is too deep.,0.0,0.0,
83610,10412,2806,8364.0,,0.0,0.0,
85250,10613,3056,9157.0,,0.0,0.0,Good effort.
29990,3717,2610,7764.0,,0.0,0.0,Good effort.
22024,2696,3228,,The answer relates to the concept discussed.,1.0,0.3,Good effort.
9943,1225,4998,,,-1.0,0.0,
4285,510,417,1227.0,,1.0,2.0,Good effort.
50670,6275,3835,,I believe it is the first option.,0.0,0.0,
7942,965,2803,8356.0,,0.0,0.0,
4735,562,492,1440.0,,0.0,0.0,
74561,9289,4050,12053.0,,0.0,0.0,
34116,4227,2937,8775.0,,0.0,0.0,Good effort.
15563,1915,597,1748.0,,1.0,1.0,Good effort.
64569,8031,1083,3246.0,,0.0,0.0,
88067,10973,4058,12081.0,,0.0,0.0,
3398,407,1531,4563.0,,1.0,2.0,
83720,10424,1373,,The answer relates to the concept discussed.,1.0,0.0,
3885,463,866,2573.0,,0.0,0.0,
87815,10940,4433,13228.0,,1.0,2.0,
72299,8995,3897,11621.0,,0.0,0.0,
38473,4766,1433,4276.0,,0.0,0.0,Good effort.
34433,4269,3512,10486.0,,0.0,0.0,
79763,9932,2090,6173.0,,0.0,0.0,
66155,8214,1368,4082.0,,1.0,5.0,
22743,2785,2306,6848.0,,0.0,0.0,
17062,2110,4160,12382.0,,1.0,3.0,
65972,8190,4586,13638.0,,0.0,0.0,
80795,10049,413,,Binary search works on sorted arrays.,0.0,0.0,
7252,878,5042,14973.0,,1.0,3.0,Good effort.
22346,2732,5132,15260.0,,1.0,5.0,
52290,6476,5074,15082.0,,0.0,0.0,Good effort.
10640,1311,2306,6847.0,,0.0,0.0,
87703,10923,5275,,,-1.0,0.0,Good effort.
71743,8924,698,2051.0,,1.0,5.0,
61683,7681,1646,4912.0,,1.0,5.0,
39390,4870,4132,12305.0,,0.0,0.0,
86229,10736,4602,13680.0,,1.0,1.0,Good effort.
86651,10786,3610,,I believe it is the first option.,1.0,0.6,
24153,2959,3328,9945.0,,0.0,0.0,
60033,7457,3375,10081.0,,0.0,0.0,Good effort.
49233,6109,49,155.0,,0.0,0.0,
45572,5653,1398,4158.0,,0.0,0.0,
11289,1402,917,2746.0,,0.0,0.0,
14534,1797,4528,,Stack overflow occurs when recursion is too deep.,1.0,0.5,
2570,311,2934,8764.0,,1.0,2.0,
34864,4324,2369,7039.0,,1.0,2.0,
75463,9404,2711,,I believe it is the first option.,0.0,0.0,
21729,2655,3586,10727.0,,0.0,0.0,Good effort.
77364,9639,1459,4341.0,,1.0,3.0,
52125,6453,3577,10699.0,,1.0,5.0,Good effort.
53635,6657,2888,,,-1.0,0.0,
46610,5782,1192,3563.0,,0.0,0.0,
66456,8253,421,1236.0,,0.0,0.0,
22909,2808,180,543.0,,0.0,0.0,
23341,2854,2615,7784.0,,0.0,0.0,
66264,8229,2411,7170.0,,1.0,1.0,
79920,9947,4072,12119.0,,1.0,2.0,
54259,6737,4386,,Binary search works on sorted arrays.,0.0,0.5,
48941,6076,3613,10790.0,,1.0,5.0,
50167,6215,4190,12476.0,,1.0,2.0,Good effort.
86926,10824,4587,13642.0,,0.0,0.0,Good effort.
58655,7301,3960,,Binary search works on sorted arrays.,0.0,0.4,
57024,7086,14,39.0,,1.0,5.0,
19171,2376,3580,10708.0,,0.0,0.0,
13969,1727,1073,3212.0,,0.0,0.0,
86167,10728,422,1240.0,,0.0,0.0,
79164,9864,4449,13271.0,,0.0,0.0,
18145,2243,4766,,,-1.0,0.0,
46958,5828,1185,3541.0,,0.0,0.0,
10789,1329,877,,,-1.0,0.0,
62107,7732,5041,14972.0,,0.0,0.0,Good effort.
24549,3019,1258,3754.0,,0.0,0.0,
35194,4366,1235,3693.0,,1.0,3.0,
73996,9215,600,1760.0,,0.0,0.0,
754,98,3018,9036.0,,1.0,2.0,
62012,7720,4299,,Stack overflow occurs when recursion is too deep.,0.0,0.4,
82578,10275,2442,,,-1.0,0.0,
9840,1207,475,1401.0,,0.0,0.0,Good effort.
60374,7504,5045,14982.0,,1.0,1.0,
13707,1697,3190,9566.0,,0.0,0.0,
76411,9524,2083,6156.0,,0.0,0.0,
59431,7390,1757,5241.0,,1.0,2.0,
33934,4206,4007,11937.0,,0.0,0.0,
46719,5794,2443,7271.0,,0.0,0.0,
53990,6702,2027,,The answer relates to the concept discussed.,-1.0,1.4,
72083,8968,4508,13431.0,,0.0,0.0,
69150,8590,916,2744.0,,0.0,0.0,
71643,8915,4001,11918.0,,0.0,0.0,
1036,130,4368,13035.0,,1.0,5.0,
39349,4863,4361,13010.0,,0.0,0.0,
2844,342,2365,7027.0,,0.0,0.0,
33007,4095,2337,6948.0,,0.0,0.0,
78930,9838,4452,13282.0,,0.0,0.0,
24293,2983,1125,3351.0,,0.0,0.0,
33770,4187,2759,,,1.0,0.3,
80139,9977,2027,,Stack overflow occurs when recursion is too deep.,1.0,0.8,
88742,11053,2078,,Binary search works on sorted arrays.,-1.0,4.5,
87959,10962,1124,3348.0,,1.0,2.0,
35745,4435,1195,3578.0,,0.0,0.0,
27716,3428,4060,12086.0,,1.0,1.0,
53332,6617,5134,,Stack overflow occurs when recursion is too deep.,1.0,0.0,Good effort.
51131,6330,4061,,,-1.0,0.0,
24844,3060,4750,14107.0,,0.0,0.0,
62251,7747,2249,,,-1.0,0.0,
45867,5694,3222,9660.0,,0.0,0.0,
82909,10318,3998,,The answer relates to the concept discussed.,1.0,0.3,
1435,177,1526,4548.0,,0.0,0.0,
36876,4577,2875,8591.0,,0.0,0.0,
22451,2750,2551,7614.0,,0.0,0.0,
17083,2112,4163,,The answer relates to the concept discussed.,1.0,0.0,
60812,7567,4091,,,-1.0,0.0,
20590,2538,4580,13628.0,,0.0,0.0,
7770,946,2809,8372.0,,1.0,5.0,
12040,1495,2327,6918.0,,0.0,0.0,
79186,9866,4444,13260.0,,0.0,0.0,
46990,5832,725,2137.0,,1.0,2.0,
30750,3816,5044,14980.0,,0.0,0.0,
5751,683,1611,4796.0,,0.0,0.0,
83516,10399,5061,15042.0,,0.0,0.0,Good effort.
4898,583,2991,8945.0,,0.0,0.0,
41052,5072,425,1248.0,,0.0,0.0,
53903,6690,2746,8171.0,,0.0,0.0,Good effort.
37930,4700,441,1296.0,,1.0,1.0,
39775,4913,3611,10783.0,,1.0,5.0,
53133,6593,3737,11158.0,,0.0,0.0,
52150,6456,3355,10025.0,,1.0,-1.0,
37164,4610,113,337.0,,0.0,0.0,
48625,6036,1070,3201.0,,1.0,3.0,Good effort.
80533,10018,3577,10700.0,,0.0,0.0,Good effort.
10650,1313,1372,4090.0,,0.0,0.0,
75280,9376,605,1774.0,,1.0,1.0,
84196,10481,233,,The answer relates to the concept discussed.,0.0,0.6,
65009,8083,292,871.0,,1.0,2.0,
47080,5842,2748,8180.0,,0.0,0.0,Good effort.
29904,3708,1232,,Stack overflow occurs when recursion is too deep.,0.0,1.0,
80865,10060,3321,9928.0,,0.0,0.0,
72877,9067,4360,13007.0,,1.0,2.0,
73667,9170,4160,12381.0,,0.0,0.0,
69984,8699,188,567.0,,0.0,0.0,
233,27,5084,15113.0,,1.0,5.0,
40428,4996,760,,Stack overflow occurs when recursion is too deep.,1.0,0.0,
60093,7465,1186,3543.0,,0.0,0.0,
6279,746,231,694.0,,1.0,2.0,
53046,6583,291,870.0,,0.0,0.0,
64882,8068,289,863.0,,1.0,3.0,Good effort.
3288,396,806,,,-1.0,0.0,Good effort.
21613,2643,2881,8614.0,,0.0,0.0,
64031,7963,2559,,The answer relates to the concept discussed.,-1.0,0.0,
58406,7265,4302,12822.0,,1.0,5.0,
13810,1707,1165,3473.0,,0.0,0.0,Good effort.
85912,10701,4777,,The answer relates to the concept discussed.,0.0,0.3,
46628,5784,1122,3343.0,,0.0,0.0,
58483,7278,1132,3378.0,,0.0,0.0,Good effort.
57614,7162,3569,10671.0,,0.0,0.0,
83088,10338,4513,13439.0,,0.0,0.0,
78791,9821,695,,The answer relates to the concept discussed.,-1.0,0.0,
71314,8869,93,281.0,,1.0,3.0,
59669,7419,5080,15098.0,,0.0,0.0,
70392,8747,768,2263.0,,0.0,0.0,
73414,9136,271,812.0,,0.0,0.0,Good effort.
78560,9793,5069,15068.0,,0.0,0.0,
60234,7486,3017,9030.0,,0.0,0.0,
64427,8013,2104,,,-1.0,0.0,
3188,386,3567,10666.0,,0.0,0.0,Good effort.
31467,3896,1654,4927.0,,0.0,0.0,Good effort.
88071,10973,4062,12092.0,,0.0,0.0,
65471,8131,5044,14979.0,,1.0,2.0,Good effort.
83205,10358,4580,13625.0,,0.0,0.0,
65707,8157,2365,7030.0,,0.0,0.0,
25587,3153,4635,13777.0,,0.0,0.0,
39221,4847,3377,10087.0,,0.0,0.0,
11668,1452,798,2359.0,,0.0,0.0,
2733,328,94,283.0,,0.0,0.0,
42033,5197,2211,6539.0,,1.0,5.0,Good effort.
43182,5349,4720,,,1.0,0.0,Good effort.
35930,4459,4011,,Stack overflow occurs when recursion is too deep.,-1.0,3.1,
59838,7440,795,2350.0,,0.0,0.0,Good effort.
35111,4356,1092,3267.0,,0.0,0.0,
9361,1146,1317,,Stack overflow occurs when recursion is too deep.,-1.0,0.0,
18585,2296,14,39.0,,1.0,5.0,
30217,3749,2100,6208.0,,1.0,2.0,Good effort.
22517,2757,2567,,,-1.0,0.0,
19447,2402,3999,11914.0,,1.0,2.0,
20611,2540,2,6.0,,0.0,0.0,
81952,10192,285,852.0,,0.0,0.0,
41374,5111,4767,14151.0,,0.0,0.0,
69122,8587,755,,Binary search works on sorted arrays.,1.0,0.0,
33965,4211,4067,,I believe it is the first option.,-1.0,0.0,
76272,9509,2933,8758.0,,0.0,0.0,
44803,5553,1579,4705.0,,0.0,0.0,Good effort.
87751,10930,3354,10021.0,,0.0,0.0,
67000,8313,2719,8085.0,,0.0,0.0,
20683,2545,116,347.0,,1.0,3.0,Good effort.
51489,6378,1067,3193.0,,0.0,0.0,Good effort.
39503,4880,424,1243.0,,0.0,0.0,
31795,3946,3751,11198.0,,1.0,2.0,
55883,6945,4003,11923.0,,0.0,0.0,
35607,4417,4449,13272.0,,1.0,2.0,
12614,1568,1267,3776.0,,0.0,0.0,
37515,4650,918,2751.0,,0.0,0.0,
66675,8274,5039,14964.0,,0.0,0.0,Good effort.
63850,7942,1660,,The answer relates to the concept discussed.,0.0,0.4,
21631,2645,3964,11810.0,,0.0,0.0,
2433,298,2204,,,0.0,0.2,
62776,7813,3139,9417.0,,1.0,5.0,
55096,6853,1226,,,-1.0,0.0,
85903,10701,4768,14155.0,,0.0,0.0,
53647,6659,2879,8605.0,,0.0,0.0,
17573,2168,4165,12387.0,,1.0,1.0,
74859,9333,3816,,I believe it is the first option.,-1.0,0.5,
39119,4837,2514,7496.0,,0.0,0.0,Good effort.
41280,5100,2889,8636.0,,0.0,0.0,
512,66,1091,,Stack overflow occurs when recursion is too deep.,1.0,4.6,
63112,7863,1072,3207.0,,0.0,0.0,
78914,9837,1380,4108.0,,0.0,0.0,
72890,9068,2675,7948.0,,0.0,0.0,
70802,8797,3738,11162.0,,0.0,0.0,
33122,4111,2754,8200.0,,0.0,0.0,
17709,2185,1229,3680.0,,0.0,0.0,
81739,10165,4391,13105.0,,0.0,0.0,
24437,3003,4999,,I believe it is the first option.,1.0,3.0,
5826,691,2149,6360.0,,1.0,2.0,
65548,8137,187,566.0,,1.0,1.0,Good effort.
58988,7342,4162,12385.0,,0.0,0.0,
9623,1181,2340,6959.0,,0.0,0.0,
71346,8876,4792,14223.0,,0.0,0.0,Good effort.
15913,1958,46,143.0,,0.0,0.0,
58107,7229,1707,,,1.0,0.9,
36621,4543,2866,8568.0,,0.0,0.0,
12172,1512,3016,,Stack overflow occurs when recursion is too deep.,1.0,0.4,
43642,5411,5043,14977.0,,0.0,0.0,
74659,9301,2884,8622.0,,0.0,0.0,
67657,8402,4191,12478.0,,0.0,0.0,
83430,10386,4789,14211.0,,0.0,0.0,Good effort.
3132,378,1242,3720.0,,0.0,0.0,
54118,6719,678,1996.0,,0.0,0.0,
75927,9461,1845,5472.0,,0.0,0.0,
15188,1875,4156,12371.0,,0.0,0.0,
46025,5711,645,1888.0,,0.0,0.0,Good effort.
56271,6989,4152,12361.0,,0.0,0.0,Good effort.
84091,10471,4507,13430.0,,1.0,3.0,
860,110,3823,11408.0,,0.0,0.0,Good effort.
81514,10132,2305,6845.0,,0.0,0.0,Good effort.
2898,347,1357,4047.0,,0.0,0.0,
72324,8998,4642,13792.0,,0.0,0.0,
47653,5919,4592,13650.0,,0.0,0.0,
72618,9033,1403,4173.0,,0.0,0.0,
3785,450,1656,4935.0,,0.0,0.0,Good effort.
20573,2536,2244,6654.0,,0.0,0.0,
17477,2158,4005,11932.0,,0.0,0.0,Good effort.
35800,4441,5279,15679.0,,1.0,2.0,Good effort.
44335,5496,2367,,The answer relates to the concept discussed.,1.0,0.0,
71575,8904,5068,15063.0,,0.0,0.0,
41281,5101,2439,,Binary search works on sorted arrays.,0.0,0.9,
49584,6149,1711,5097.0,,1.0,3.0,Good effort.
81231,10098,1397,4155.0,,0.0,0.0,
58137,7231,806,2383.0,,0.0,0.0,
81369,10113,1663,,The answer relates to the concept discussed.,1.0,0.0,
59524,7402,2758,8213.0,,0.0,0.0,
361,44,3752,11201.0,,1.0,2.0,
56185,6979,93,280.0,,0.0,0.0,
12186,1514,4133,12309.0,,0.0,0.0,
78709,9810,4452,13281.0,,1.0,3.0,
32833,4072,3602,10770.0,,0.0,0.0,
21143,2590,758,2234.0,,1.0,5.0,Good effort.
18619,2302,4952,14697.0,,1.0,5.0,
32765,4062,1091,,Stack overflow occurs when recursion is too deep.,0.0,0.0,
46795,5805,2396,7124.0,,0.0,0.0,
80551,10019,3584,10723.0,,0.0,0.0,Good effort.
84095,10471,4511,13435.0,,1.0,1.0,Good effort.
53063,6585,4296,,I believe it is the first option.,0.0,2.8,Good effort.
68877,8555,764,2251.0,,0.0,0.0,Good effort.
14439,1785,728,2145.0,,0.0,0.0,
16797,2075,4389,13099.0,,1.0,2.0,Good effort.
40867,5052,2866,8570.0,,1.0,2.0,
41179,5090,4363,13018.0,,1.0,5.0,Good effort.
63126,7865,1071,,,-1.0,0.0,
7711,940,4014,11956.0,,0.0,0.0,
1441,178,1372,4092.0,,0.0,0.0,
85760,10683,191,576.0,,0.0,0.0,
46072,5715,1396,4152.0,,1.0,3.0,Good effort.
15126,1865,808,2390.0,,0.0,0.0,
9866,1210,2747,8175.0,,1.0,3.0,
53721,6666,593,,Binary search works on sorted arrays.,1.0,0.5,Good effort.
37374,4634,1194,3573.0,,0.0,0.0,Good effort.
48521,6025,1693,,Binary search works on sorted arrays.,0.0,2.2,
31804,3946,3760,11229.0,,1.0,1.0,
48940,6076,3612,,,-1.0,0.0,
25880,3188,648,1900.0,,1.0,5.0,Good effort.
42971,5323,1578,,Stack overflow occurs when recursion is too deep.,1.0,1.7,
74321,9256,2446,7279.0,,0.0,0.0,Good effort.
17742,2190,3507,,The answer relates to the concept discussed.,0.0,0.0,
75484,9406,2570,7658.0,,0.0,0.0,
40192,4973,1998,5910.0,,0.0,0.0,
10853,1344,4011,,The answer relates to the concept discussed.,1.0,0.3,
63733,7928,3739,11163.0,,0.0,0.0,
29940,3712,2406,7161.0,,0.0,0.0,
35590,4415,4151,,Binary search works on sorted arrays.,1.0,2.8,Good effort.
83744,10426,2566,7649.0,,1.0,1.0,
53886,6686,4951,,The answer relates to the concept discussed.,0.0,0.2,
65175,8098,5045,14982.0,,1.0,1.0,
60529,7522,4922,14612.0,,0.0,0.0,
14979,1850,4725,14034.0,,0.0,0.0,
70790,8794,2398,,,-1.0,0.0,
20847,2560,5128,15250.0,,0.0,0.0,
70963,8822,3690,11016.0,,0.0,0.0,
34762,4313,3738,11159.0,,0.0,0.0,
65318,8114,4361,13012.0,,0.0,0.0,
25535,3146,875,2596.0,,0.0,0.0,Good effort.
72087,8968,4512,13438.0,,1.0,5.0,Good effort.
13160,1636,5044,14979.0,,1.0,2.0,
15572,1916,591,1736.0,,1.0,3.0,
36247,4498,4191,12477.0,,1.0,3.0,Good effort.
20784,2554,595,1741.0,,0.0,0.0,
83956,10455,4780,14188.0,,1.0,5.0,
63450,7898,1826,,,1.0,2.6,
8463,1027,1754,,,-1.0,0.0,Good effort.
57594,7160,3568,,I believe it is the first option.,1.0,0.7,
36715,4555,289,863.0,,1.0,3.0,
12193,1514,4140,12329.0,,1.0,2.0,
87432,10885,4371,13044.0,,0.0,0.0,Good effort.
