CreatedById,CourseId,Id,QuestionText,QuestionType,Marks,DifficultyIndex,CorrectRate,TimesAnswered
7,17,383,What does SQL stand for?,MCQ,2,1.0,0.0,8.0
7,131,3379,What is normalization in databases?,MCQ,3,1.0,0.0,9.0
4,181,4603,Which sorting algorithm has worst-case O(n²)?,MCQ,3,1.0,0.0,6.0
13,58,1267,What is normalization in databases?,MCQ,2,0.947,0.053,19.0
7,29,651,Which data structure uses LIFO?,MCQ,3,0.941,0.059,17.0
11,161,4200,What does API stand for?,MCQ,5,0.929,0.071,14.0
4,143,3616,What is a foreign key?,MCQ,2,0.929,0.071,14.0
11,198,5004,Which sorting algorithm has worst-case O(n²)?,MCQ,3,0.929,0.071,14.0
2,112,2807,Output of 2**3 in Python?,MCQ,5,0.913,0.087,46.0
14,166,4305,Which data structure uses LIFO?,MCQ,3,0.909,0.091,11.0
2,14,243,What does OOP stand for?,MCQ,2,0.909,0.091,11.0
12,143,3598,Which is NOT a supervised learning algorithm?,MCQ,5,0.909,0.091,22.0
13,102,2460,Output of 2**3 in Python?,MCQ,5,0.906,0.094,32.0
11,53,1190,What is a deadlock?,MCQ,3,0.906,0.094,32.0
12,97,2368,What does OOP stand for?,MCQ,3,0.906,0.094,64.0
14,16,290,What does API stand for?,MCQ,2,0.905,0.095,42.0
8,76,1754,What does OOP stand for?,MCQ,3,0.9,0.1,60.0
3,149,3823,What does SQL stand for?,MCQ,1,0.9,0.1,30.0
9,78,1827,Which is NOT a supervised learning algorithm?,MCQ,2,0.895,0.105,19.0
3,37,808,Which protocol is stateless?,MCQ,5,0.895,0.105,19.0
9,155,4049,Which sorting algorithm has worst-case O(n²)?,MCQ,2,0.889,0.111,9.0
6,139,3504,Which data structure uses LIFO?,MCQ,5,0.889,0.111,36.0
13,187,4793,What is a foreign key?,MCQ,5,0.889,0.111,18.0
9,87,2151,Which protocol is stateless?,MCQ,3,0.889,0.111,45.0
11,175,4484,What does API stand for?,MCQ,2,0.889,0.111,9.0
13,114,2865,What does SQL stand for?,MCQ,5,0.889,0.111,18.0
15,91,2249,What does SQL stand for?,MCQ,5,0.886,0.114,44.0
4,186,4782,What is a foreign key?,MCQ,3,0.886,0.114,35.0
2,131,3401,What does API stand for?,MCQ,2,0.882,0.118,17.0
2,106,2607,Overfitting in ML means?,MCQ,2,0.88,0.12,25.0
13,58,1266,What does API stand for?,MCQ,5,0.879,0.121,33.0
2,86,2082,What does OOP stand for?,MCQ,3,0.877,0.123,57.0
2,112,2811,What is a foreign key?,MCQ,5,0.875,0.125,48.0
14,130,3360,What is the time complexity of binary search?,MCQ,5,0.875,0.125,8.0
2,14,240,What is a foreign key?,MCQ,2,0.875,0.125,16.0
11,28,5127,What is the time complexity of binary search?,MCQ,1,0.875,0.125,56.0
7,2,49,What does SQL stand for?,MCQ,2,0.875,0.125,16.0
3,39,864,Which data structure uses LIFO?,MCQ,3,0.875,0.125,24.0
4,54,1226,Which OSI layer handles routing?,MCQ,2,0.875,0.125,32.0
4,140,3514,What is the time complexity of binary search?,MCQ,2,0.872,0.128,47.0
12,63,1429,What does OOP stand for?,MCQ,5,0.871,0.129,31.0
2,132,3409,What does API stand for?,MCQ,1,0.871,0.129,31.0
11,53,1199,What does OOP stand for?,MCQ,1,0.871,0.129,31.0
8,76,1753,What is a foreign key?,MCQ,2,0.871,0.129,62.0
8,117,2941,What is a deadlock?,MCQ,1,0.87,0.13,69.0
5,106,2620,What is a deadlock?,MCQ,2,0.87,0.13,23.0
11,52,1157,What does API stand for?,MCQ,3,0.87,0.13,23.0
4,186,4786,Which protocol is stateless?,MCQ,2,0.868,0.132,38.0
2,99,2419,Which protocol is stateless?,MCQ,2,0.868,0.132,68.0
11,141,3567,What does API stand for?,MCQ,3,0.867,0.133,60.0
5,127,3170,Output of 2**3 in Python?,MCQ,5,0.867,0.133,45.0
7,68,1527,Which algorithm underlies RSA?,MCQ,5,0.865,0.135,37.0
9,74,1694,Which data structure uses LIFO?,MCQ,3,0.865,0.135,74.0
11,52,1159,What is normalization in databases?,MCQ,1,0.864,0.136,22.0
5,61,1383,What is the time complexity of binary search?,MCQ,3,0.864,0.136,22.0
11,32,728,Which protocol is stateless?,MCQ,2,0.863,0.137,51.0
7,20,439,What does SQL stand for?,MCQ,1,0.862,0.138,29.0
1,184,4705,Output of 2**3 in Python?,MCQ,3,0.86,0.14,57.0
15,117,2985,Which algorithm underlies RSA?,MCQ,5,0.86,0.14,50.0
4,72,1612,What is a deadlock?,MCQ,3,0.857,0.143,28.0
6,184,4727,What is a foreign key?,MCQ,1,0.857,0.143,21.0
15,117,2997,What is the time complexity of binary search?,MCQ,3,0.857,0.143,14.0
12,170,4403,What is normalization in databases?,MCQ,3,0.857,0.143,14.0
4,182,4670,Which algorithm underlies RSA?,ShortAnswer,5,0.857,0.143,7.0
14,53,1189,Which sorting algorithm has worst-case O(n²)?,MCQ,3,0.857,0.143,21.0
2,176,4514,Output of 2**3 in Python?,MCQ,3,0.857,0.143,28.0
3,181,4618,What is normalization in databases?,MCQ,2,0.855,0.145,55.0
4,54,1228,What is a foreign key?,MCQ,1,0.853,0.147,34.0
7,16,278,What does API stand for?,MCQ,2,0.853,0.147,34.0
15,52,1169,Overfitting in ML means?,MCQ,1,0.852,0.148,27.0
11,161,4190,Which is NOT a supervised learning algorithm?,MCQ,2,0.852,0.148,27.0
11,141,3575,Which protocol is stateless?,MCQ,2,0.85,0.15,20.0
2,155,4010,What is a deadlock?,MCQ,2,0.849,0.151,86.0
12,63,1431,What is a deadlock?,MCQ,2,0.848,0.152,33.0
12,43,962,What is the time complexity of binary search?,MCQ,3,0.847,0.153,59.0
6,194,4954,Output of 2**3 in Python?,MCQ,2,0.846,0.154,13.0
7,94,2337,Which data structure uses LIFO?,MCQ,3,0.846,0.154,26.0
8,69,1559,Output of 2**3 in Python?,MCQ,2,0.846,0.154,13.0
13,187,4791,What is a deadlock?,MCQ,2,0.846,0.154,39.0
2,110,2712,What is a foreign key?,MCQ,2,0.846,0.154,26.0
7,20,438,What does OOP stand for?,MCQ,2,0.844,0.156,32.0
2,132,3406,What does API stand for?,MCQ,2,0.844,0.156,32.0
8,69,1554,What does OOP stand for?,MCQ,5,0.844,0.156,32.0
2,1,4,What is a foreign key?,MCQ,2,0.844,0.156,32.0
7,43,955,What does OOP stand for?,MCQ,5,0.844,0.156,45.0
2,131,3399,What is the time complexity of binary search?,MCQ,2,0.843,0.157,51.0
6,184,4719,What is a foreign key?,MCQ,2,0.842,0.158,76.0
1,123,3141,Which protocol is stateless?,MCQ,5,0.842,0.158,19.0
12,128,3193,Overfitting in ML means?,MCQ,2,0.842,0.158,57.0
15,181,4587,What does OOP stand for?,MCQ,2,0.841,0.159,63.0
5,33,762,Which sorting algorithm has worst-case O(n²)?,MCQ,1,0.84,0.16,50.0
2,155,4014,Which protocol is stateless?,MCQ,1,0.84,0.16,81.0
10,31,691,Which algorithm underlies RSA?,MCQ,3,0.84,0.16,25.0
11,53,1192,Which sorting algorithm has worst-case O(n²)?,MCQ,2,0.839,0.161,31.0
15,181,4580,What is normalization in databases?,MCQ,2,0.839,0.161,62.0
6,30,682,What is the time complexity of binary search?,MCQ,2,0.839,0.161,31.0
5,87,2171,Which algorithm underlies RSA?,MCQ,5,0.839,0.161,31.0
3,149,3821,What is normalization in databases?,MCQ,2,0.839,0.161,31.0
1,9,188,What does SQL stand for?,MCQ,2,0.839,0.161,62.0
3,173,4434,What does OOP stand for?,MCQ,3,0.838,0.162,74.0
5,127,3178,Which algorithm underlies RSA?,MCQ,2,0.838,0.162,37.0
7,160,4146,What is a deadlock?,MCQ,1,0.838,0.162,68.0
7,68,1525,Which sorting algorithm has worst-case O(n²)?,MCQ,2,0.838,0.162,37.0
14,161,4154,Which algorithm underlies RSA?,MCQ,2,0.838,0.162,99.0
11,141,3574,What is the time complexity of binary search?,MCQ,3,0.837,0.163,43.0
2,86,2084,What does SQL stand for?,MCQ,2,0.836,0.164,55.0
3,186,4776,What does API stand for?,MCQ,5,0.836,0.164,67.0
11,161,4195,Which OSI layer handles routing?,MCQ,2,0.833,0.167,24.0
10,168,4372,Which is NOT a supervised learning algorithm?,MCQ,5,0.833,0.167,12.0
15,52,1165,What is a deadlock?,MCQ,1,0.833,0.167,42.0
7,131,3378,What is normalization in databases?,MCQ,3,0.833,0.167,18.0
7,169,4393,What does OOP stand for?,MCQ,2,0.833,0.167,18.0
