Id,QuizId,QuestionText,QuestionTextAr,QuestionType,Marks,Explanation,ExplanationAr,SortOrder,ImageUrl
4670,1945,Which algorithm underlies RSA?,ترجمة: Which algorithm underlies RSA?,ShortAnswer,5,Because Public Key Cryptography is correct.,,8,
1834,800,Which data structure uses LIFO?,,TrueFalse,1,,,7,
274,141,What is the time complexity of binary search?,,MCQ,5,,الشرح بالعربية,5,
2455,1048,What is the time complexity of binary search?,ترجمة: What is the time complexity of,MCQ,2,,,1,
5007,2115,Which is NOT a supervised learning algorithm?,,MCQ,1,Because K-Means is correct.,,3,
1960,833,What does SQL stand for?,ترجمة: What does SQL stand for?,MCQ,2,,,3,
5316,24,Output of 2**3 in Python?,,MCQ,5,,الشرح بالعربية,4,/uploads/questions/172351b8-4045-4d88-8e04-b70842f19915.png
683,311,What does OOP stand for?,ترجمة: What does OOP stand for?,ShortAnswer,1,,الشرح بالعربية,8,
1892,816,What is the time complexity of binary search?,,MCQ,3,,الشرح بالعربية,3,
282,143,Which protocol is stateless?,ترجمة: Which protocol is stateless?,TrueFalse,5,,الشرح بالعربية,2,
4329,1800,What is a deadlock?,,ShortAnswer,2,,,10,
130,53,What does OOP stand for?,,MCQ,1,,الشرح بالعربية,3,
3202,1344,Output of 2**3 in Python?,,ShortAnswer,3,,,13,
3417,1424,Which protocol is stateless?,ترجمة: Which protocol is stateless?,TrueFalse,1,,الشرح بالعربية,1,
2869,1189,Which is NOT a supervised learning algorithm?,,ShortAnswer,5,Because K-Means is correct.,,4,/uploads/questions/6b7f468b-feb4-4ac6-8d04-3aae64612b35.png
4048,1667,Which algorithm underlies RSA?,,MCQ,5,,,6,
526,252,Which OSI layer handles routing?,,TrueFalse,1,Because Network Layer is correct.,الشرح بالعربية,8,
2428,1040,What does SQL stand for?,ترجمة: What does SQL stand for?,TrueFalse,2,Because Structured Query Language is correct.,,5,
2553,1079,What does SQL stand for?,,ShortAnswer,2,,,6,
656,306,What is the time complexity of binary search?,,MCQ,2,,,2,
584,282,Overfitting in ML means?,,TrueFalse,3,"Because Good on training, poor on test data is correct.",,6,
3607,1508,What does API stand for?,ترجمة: What does API stand for?,ShortAnswer,2,,,1,
45,21,Overfitting in ML means?,,MCQ,3,"Because Good on training, poor on test data is correct.",,2,
1475,658,What does SQL stand for?,,MCQ,2,Because Structured Query Language is correct.,,8,
3942,1635,Output of 2**3 in Python?,,MCQ,5,Because 8 is correct.,,12,/uploads/questions/75eb7900-4bcc-4da8-97ed-18324683845b.png
5334,87,What is the time complexity of binary search?,,ShortAnswer,1,Because O(log n) is correct.,الشرح بالعربية,8,
1037,496,Output of 2**3 in Python?,ترجمة: Output of 2**3 in Python?,MCQ,1,Because 8 is correct.,الشرح بالعربية,3,
3566,1493,Which OSI layer handles routing?,,MCQ,5,,,1,
1370,623,What is a foreign key?,ترجمة: What is a foreign key?,MCQ,5,,,6,
4302,1789,Overfitting in ML means?,ترجمة: Overfitting in ML means?,MCQ,5,,الشرح بالعربية,10,
3225,1351,What does API stand for?,ترجمة: What does API stand for?,MCQ,1,Because Application Programming Interface is correct.,,4,
3806,1586,Which OSI layer handles routing?,ترجمة: Which OSI layer handles routin,MCQ,3,,الشرح بالعربية,3,
358,158,Which OSI layer handles routing?,,MCQ,1,Because Network Layer is correct.,,2,
3497,1460,What is a deadlock?,,MCQ,2,Because Two processes waiting for each other is correct.,,11,
2406,1021,Overfitting in ML means?,,MCQ,2,,الشرح بالعربية,7,
4064,1675,What is a foreign key?,ترجمة: What is a foreign key?,ShortAnswer,2,Because References a primary key in another table is correct.,الشرح بالعربية,9,
3057,1264,Which is NOT a supervised learning algorithm?,ترجمة: Which is NOT a supervised lear,MCQ,2,Because K-Means is correct.,الشرح بالعربية,2,
2096,888,Which data structure uses LIFO?,,MCQ,3,,,9,
3957,1638,Which OSI layer handles routing?,,TrueFalse,3,,الشرح بالعربية,2,/uploads/questions/4f931590-6641-4f21-8879-718723dec7fa.png
2643,1103,Which sorting algorithm has worst-case O(n²)?,ترجمة: Which sorting algorithm has wo,TrueFalse,5,,,9,
565,277,Output of 2**3 in Python?,,MCQ,3,Because 8 is correct.,,4,
1091,518,Which data structure uses LIFO?,ترجمة: Which data structure uses LIFO,ShortAnswer,5,Because Stack is correct.,,10,/uploads/questions/bfd27bb5-b9f9-4961-a84c-8d1df5a756fa.png
3737,1564,What does SQL stand for?,,MCQ,2,,الشرح بالعربية,2,/uploads/questions/fe007e11-33ce-46e2-a1ee-a6c53bd4a7b3.png
634,291,What is the time complexity of binary search?,ترجمة: What is the time complexity of,MCQ,5,,,3,
4203,1741,What does OOP stand for?,,MCQ,2,,,2,
291,143,Which sorting algorithm has worst-case O(n²)?,,TrueFalse,1,,,11,
5089,2142,What is a foreign key?,,MCQ,2,Because References a primary key in another table is correct.,,5,/uploads/questions/2b56a45a-0419-4e45-a6d7-00701465caf0.png
2429,1040,Which algorithm underlies RSA?,ترجمة: Which algorithm underlies RSA?,MCQ,2,,,6,
117,43,Overfitting in ML means?,,ShortAnswer,1,,,12,
4122,1697,What is a deadlock?,,MCQ,3,,الشرح بالعربية,5,
2988,1239,What is the time complexity of binary search?,,MCQ,5,Because O(log n) is correct.,,4,
1109,530,Which sorting algorithm has worst-case O(n²)?,,MCQ,3,Because Bubble Sort is correct.,,7,
3788,1575,What is a foreign key?,,MCQ,5,Because References a primary key in another table is correct.,الشرح بالعربية,10,
1771,784,What is a foreign key?,,TrueFalse,2,,,2,
3900,1607,What is a foreign key?,ترجمة: What is a foreign key?,MCQ,5,,,4,
2252,957,What is a deadlock?,ترجمة: What is a deadlock?,TrueFalse,5,,الشرح بالعربية,2,
4529,1912,What does API stand for?,,MCQ,3,Because Application Programming Interface is correct.,الشرح بالعربية,6,
3153,1325,What is a foreign key?,,MCQ,2,Because References a primary key in another table is correct.,,4,
1725,758,Output of 2**3 in Python?,ترجمة: Output of 2**3 in Python?,MCQ,5,,,5,
3995,1653,Which is NOT a supervised learning algorithm?,ترجمة: Which is NOT a supervised lear,TrueFalse,3,,,7,
3314,1369,Which protocol is stateless?,,MCQ,2,,,11,/uploads/questions/58e6b6d3-1171-4987-9ecd-d2ff8106e21c.png
2158,907,What does API stand for?,,ShortAnswer,5,Because Application Programming Interface is correct.,الشرح بالعربية,3,
1735,764,What does SQL stand for?,,ShortAnswer,5,Because Structured Query Language is correct.,,4,
5011,2115,Overfitting in ML means?,ترجمة: Overfitting in ML means?,ShortAnswer,1,"Because Good on training, poor on test data is correct.",الشرح بالعربية,7,/uploads/questions/6c6e0c96-1a73-4bac-9d67-f137ebe5406c.png
4142,1705,Which algorithm underlies RSA?,ترجمة: Which algorithm underlies RSA?,ShortAnswer,3,Because Public Key Cryptography is correct.,,11,
843,407,Which OSI layer handles routing?,,TrueFalse,5,Because Network Layer is correct.,,4,
846,407,What is normalization in databases?,,MCQ,5,Because Reducing data redundancy is correct.,,7,
5204,2176,What is a deadlock?,,MCQ,2,,الشرح بالعربية,3,
334,152,Overfitting in ML means?,,MCQ,2,,الشرح بالعربية,4,
3848,1599,What is a deadlock?,ترجمة: What is a deadlock?,ShortAnswer,3,,,3,
574,279,Which algorithm underlies RSA?,ترجمة: Which algorithm underlies RSA?,MCQ,2,Because Public Key Cryptography is correct.,,8,
3356,1383,Which algorithm underlies RSA?,ترجمة: Which algorithm underlies RSA?,MCQ,2,,,4,
4701,1967,What is the time complexity of binary search?,,MCQ,5,,الشرح بالعربية,6,/uploads/questions/ac667ef0-c572-46df-b03b-6e01964d0f1d.png
4096,1691,Which OSI layer handles routing?,,TrueFalse,2,,الشرح بالعربية,1,/uploads/questions/2b06195b-0763-4c84-bbf2-806ceb59e3ae.png
880,422,What is a foreign key?,ترجمة: What is a foreign key?,MCQ,1,,,3,
1643,722,Which sorting algorithm has worst-case O(n²)?,ترجمة: Which sorting algorithm has wo,TrueFalse,2,,,7,
4509,1891,What does OOP stand for?,,TrueFalse,1,Because Object Oriented Programming is correct.,,5,/uploads/questions/bb2d7c39-ec3e-4f23-a9b5-4773c6a0bd05.png
3981,1648,Which algorithm underlies RSA?,,MCQ,2,Because Public Key Cryptography is correct.,الشرح بالعربية,4,
1665,727,Which sorting algorithm has worst-case O(n²)?,ترجمة: Which sorting algorithm has wo,MCQ,5,Because Bubble Sort is correct.,الشرح بالعربية,7,
743,344,What does OOP stand for?,ترجمة: What does OOP stand for?,MCQ,5,Because Object Oriented Programming is correct.,الشرح بالعربية,2,
1156,547,Overfitting in ML means?,,TrueFalse,3,"Because Good on training, poor on test data is correct.",,3,
755,350,What is a foreign key?,ترجمة: What is a foreign key?,ShortAnswer,5,,,1,/uploads/questions/6ef14828-32c4-43de-8ab5-36ee23fb658d.png
807,389,What does OOP stand for?,,TrueFalse,2,Because Object Oriented Programming is correct.,الشرح بالعربية,14,
2175,924,Which data structure uses LIFO?,,MCQ,2,,,2,
718,332,Overfitting in ML means?,,TrueFalse,2,,,8,
5113,2144,What does OOP stand for?,ترجمة: What does OOP stand for?,MCQ,2,,الشرح بالعربية,11,
1204,563,What is a foreign key?,,MCQ,2,,الشرح بالعربية,3,
2948,1226,Which data structure uses LIFO?,ترجمة: Which data structure uses LIFO,TrueFalse,2,Because Stack is correct.,,5,
3196,1344,What is normalization in databases?,,ShortAnswer,2,,,7,
2430,1040,What does API stand for?,,TrueFalse,2,Because Application Programming Interface is correct.,,7,/uploads/questions/4cb4464d-fde8-4bd7-bc7d-531fce55a8fe.png
4153,1719,Output of 2**3 in Python?,ترجمة: Output of 2**3 in Python?,TrueFalse,3,Because 8 is correct.,,8,
2074,886,Which OSI layer handles routing?,ترجمة: Which OSI layer handles routin,ShortAnswer,2,,,12,
2531,1074,Which protocol is stateless?,,MCQ,2,Because HTTP is correct.,الشرح بالعربية,6,
3746,1566,What is the time complexity of binary search?,ترجمة: What is the time complexity of,MCQ,2,,,5,/uploads/questions/e485af66-1171-4300-b6b1-08a2955a110a.png
3384,1393,Which is NOT a supervised learning algorithm?,,ShortAnswer,3,,,5,
3263,1358,Which algorithm underlies RSA?,,ShortAnswer,2,,,2,
2230,948,What does OOP stand for?,ترجمة: What does OOP stand for?,TrueFalse,2,Because Object Oriented Programming is correct.,,5,
3127,1308,Which algorithm underlies RSA?,ترجمة: Which algorithm underlies RSA?,MCQ,5,Because Public Key Cryptography is correct.,الشرح بالعربية,10,
4396,1838,What does SQL stand for?,ترجمة: What does SQL stand for?,TrueFalse,1,Because Structured Query Language is correct.,,3,
1289,604,Which protocol is stateless?,ترجمة: Which protocol is stateless?,MCQ,2,Because HTTP is correct.,,4,
3762,1570,What does API stand for?,,MCQ,2,Because Application Programming Interface is correct.,الشرح بالعربية,12,
3136,1314,Which protocol is stateless?,ترجمة: Which protocol is stateless?,MCQ,3,Because HTTP is correct.,الشرح بالعربية,7,
594,286,Which data structure uses LIFO?,,ShortAnswer,1,Because Stack is correct.,,4,
2063,886,Overfitting in ML means?,,TrueFalse,2,,الشرح بالعربية,1,
2018,850,Output of 2**3 in Python?,,MCQ,3,,الشرح بالعربية,11,
